train_number,train_name,train_type,corridor_id,source_code,dest_code,run_days,corridor_stops,train_gap_coverage_potential
22387,Black Diamond Express,SUPERFAST,bly_bwn_asn_trunk,BLY,ASN,"mon,tue,wed,thu,fri,sat,sun",BLY(06:24/06:24) -> BWN(07:48/07:50) -> ASN(09:31/09:34),40 mins
22388,Black Diamond Express,SUPERFAST,bly_bwn_asn_trunk,ASN,BLY,"mon,tue,wed,thu,fri,sat,sun",ASN(17:24/17:27) -> BWN(19:13/19:15) -> BLY(21:09/21:09),45 mins
11447,Shaktipunj Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(19:16/19:21) -> BWN(21:03/21:05) -> HWH(22:45/--),40 mins
11448,Shaktipunj Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/13:10) -> BWN(14:07/14:09) -> ASN(15:35/15:40),34 mins
12019,Howrah - Ranchi Shatabdi Express,Shatabdi Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat",HWH(--/06:05) -> BWN(07:00/07:00) -> ASN(08:12/08:14),28 mins
12020,Ranchi - Howrah Shatabdi Express,Shatabdi Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat",ASN(18:27/18:29) -> BWN(20:01/20:01) -> HWH(21:20/--),31 mins
12023,Howrah - Patna Shatabdi Express,Shatabdi Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat",HWH(--/14:05) -> BWN(15:03/15:03) -> ASN(16:21/16:30),31 mins
12024,Patna - Howrah Shatabdi Express,Shatabdi Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat",ASN(10:30/10:35) -> BWN(12:01/12:01) -> HWH(13:25/--),33 mins
12175,Chambal Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"wed,sun",HWH(--/17:45) -> BWN(18:55/18:57) -> ASN(20:25/20:30),35 mins
12176,Chambal Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"tue,sat",ASN(03:38/03:43) -> BWN(05:12/05:14) -> HWH(06:55/--),40 mins
12177,Chambal Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,fri,HWH(--/17:45) -> BWN(18:55/18:57) -> ASN(20:25/20:30),35 mins
12178,Chambal Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,mon,ASN(03:38/03:43) -> BWN(05:12/05:14) -> HWH(06:55/--),40 mins
12259,Sealdah - Bikaner AC Duronto Express,Duronto Express,hwh_bwn_asn_line,HWH,ASN,"mon,wed,thu,sun",HWH(17:03/17:03) -> BWN(18:18/18:18) -> ASN(19:43/19:43),34 mins
12260,Bikaner - Sealdah AC Duronto Express,Duronto Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,thu,fri",ASN(10:13/10:13) -> BWN(11:56/11:56) -> HWH(13:27/13:27),36 mins
12273,Howrah - New Delhi Duronto Express,Duronto Express,hwh_bwn_asn_line,HWH,ASN,"mon,fri",HWH(--/08:45) -> BWN(09:44/09:44) -> ASN(10:50/10:55),26 mins
12274,New Delhi - Howrah Duronto Express,Duronto Express,hwh_bwn_asn_line,ASN,HWH,"tue,sat",ASN(07:26/07:31) -> BWN(09:08/09:08) -> HWH(10:35/--),34 mins
12301,Howrah - New Delhi Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat",HWH(--/16:50) -> BWN(17:45/17:45) -> ASN(18:47/18:49),24 mins
12302,New Delhi - Howrah Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,sat,sun",ASN(07:18/07:20) -> BWN(08:42/08:42) -> HWH(09:55/--),29 mins
12303,Poorva Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,fri,sat",HWH(--/08:00) -> BWN(08:55/08:57) -> ASN(10:21/10:26),33 mins
12304,Poorva Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"wed,thu,sat,sun",ASN(13:16/13:26) -> BWN(15:03/15:05) -> HWH(17:00/--),46 mins
12305,Howrah - New Delhi Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,HWH,ASN,sun,HWH(--/14:05) -> BWN(14:57/14:59) -> ASN(16:08/16:08),27 mins
12306,New Delhi - Howrah Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,ASN,HWH,fri,ASN(09:11/09:11) -> BWN(10:35/10:37) -> HWH(12:15/--),39 mins
12307,Jodhpur Superfast Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"tue,wed,sat,sun",HWH(--/23:30) -> BWN(00:22/00:24) -> ASN(01:55/01:59),36 mins
12308,Howrah Superfast Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,thu,fri",ASN(01:29/01:34) -> BWN(03:00/03:02) -> HWH(04:55/--),45 mins
12313,Sealdah - New Delhi Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(16:52/16:52) -> BWN(17:55/17:55) -> ASN(19:06/19:10),28 mins
12314,New Delhi - Sealdah Rajdhani Express,Rajdhani Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(07:01/07:03) -> BWN(08:35/08:35) -> HWH(10:07/10:07),36 mins
12321,Mumbai Mail,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/23:40) -> BWN(00:32/00:34) -> ASN(02:10/02:15),38 mins
12322,Howrah Mail,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(07:26/07:36) -> BWN(09:28/09:30) -> HWH(11:10/--),40 mins
12323,Barmer SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"tue,fri",HWH(--/18:50) -> BWN(19:55/19:55) -> ASN(21:08/21:13),29 mins
12324,Howrah SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"wed,sat",ASN(02:11/02:16) -> BWN(04:07/04:07) -> HWH(05:45/--),39 mins
12329,West Bengal Sampark Kranti Express,Mail/Express,hwh_bwn_asn_line,HWH,ASN,tue,HWH(13:13/13:13) -> BWN(14:29/14:31) -> ASN(15:52/15:57),32 mins
12330,West Bengal Sampark Kranti Express,Mail/Express,hwh_bwn_asn_line,ASN,HWH,wed,ASN(12:43/12:53) -> BWN(14:23/14:25) -> HWH(16:31/16:31),50 mins
12339,Coalfield Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/17:20) -> BWN(18:29/18:29) -> ASN(20:04/20:07),38 mins
12340,Coalfield Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(06:50/06:53) -> BWN(08:46/08:46) -> HWH(10:25/--),39 mins
12341,Agnibina Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/18:20) -> BWN(19:17/19:19) -> ASN(21:30/--),52 mins
12342,Agnibina Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(--/05:30) -> BWN(07:05/07:07) -> HWH(09:00/--),45 mins
12351,Rajendra Nagar Terminal SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/20:35) -> BWN(21:32/21:34) -> ASN(23:00/23:05),34 mins
12352,Howrah SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(03:15/03:20) -> BWN(04:54/04:56) -> HWH(06:40/--),41 mins
12353,Lal Kuan Weekly SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,fri,HWH(--/08:15) -> BWN(09:08/09:10) -> ASN(10:33/10:38),33 mins
12354,Howrah Weekly SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,sat,ASN(15:01/15:06) -> BWN(16:34/16:36) -> HWH(18:25/--),43 mins
12371,Bikaner Weekly SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,mon,HWH(--/08:15) -> BWN(09:18/09:18) -> ASN(10:33/10:38),30 mins
12372,Howrah Weekly SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,thu,ASN(12:57/13:07) -> BWN(14:55/14:55) -> HWH(16:50/--),46 mins
12379,Amritsar Jallianwala Bagh Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,fri,HWH(13:13/13:13) -> BWN(14:29/14:31) -> ASN(15:52/15:57),32 mins
12380,Sealdah Jallianwala Bagh Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,sun,ASN(12:43/12:53) -> BWN(14:23/14:25) -> HWH(16:31/16:31),50 mins
12381,Poorva Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"wed,thu,sun",HWH(--/08:15) -> BWN(09:07/09:09) -> ASN(10:33/10:38),33 mins
12382,Poorva Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,fri",ASN(13:16/13:26) -> BWN(15:03/15:05) -> HWH(17:00/--),46 mins
12937,Garba SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,sat,ASN(09:39/09:49) -> BWN(11:27/11:27) -> HWH(12:55/--),35 mins
12938,Garba SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,mon,HWH(--/23:00) -> BWN(00:04/00:04) -> ASN(01:16/01:26),28 mins
12987,Ajmer SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(22:57/22:57) -> BWN(00:08/00:10) -> ASN(01:37/01:40),34 mins
12988,Sealdah SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(11:51/11:54) -> BWN(13:39/13:41) -> HWH(15:46/15:46),50 mins
13005,Amritsar Mail,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/19:20) -> BWN(20:12/20:14) -> ASN(21:41/21:46),34 mins
13006,Howrah Mail,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(03:48/03:53) -> BWN(05:35/05:37) -> HWH(07:25/--),43 mins
13009,Doon Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/20:25) -> BWN(22:15/22:17) -> ASN(23:51/23:56),55 mins
13010,Doon Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(02:28/02:33) -> BWN(04:23/04:25) -> HWH(07:00/--),62 mins
13019,Bagh Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/21:40) -> BWN(23:21/23:23) -> ASN(01:11/01:16),43 mins
13020,Bagh Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(05:24/05:34) -> BWN(08:03/08:05) -> HWH(11:15/--),76 mins
13021,Mithila Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/15:50) -> BWN(18:08/18:10) -> ASN(19:53/19:58),41 mins
13022,Mithila Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(23:05/23:15) -> BWN(01:25/01:27) -> HWH(04:00/--),61 mins
13025,Bhopal Weekly Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,mon,HWH(--/12:35) -> BWN(13:27/13:29) -> ASN(14:54/14:59),34 mins
13026,Howrah Weekly Express,Mail/Express,hwh_bwn_asn_line,ASN,HWH,wed,ASN(11:35/11:45) -> BWN(13:27/13:29) -> HWH(15:10/--),40 mins
13029,Howrah - Mokama Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/23:20) -> BWN(01:28/01:30) -> ASN(03:26/03:36),46 mins
13030,Mokama - Howrah Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(21:05/21:25) -> BWN(00:37/00:39) -> HWH(03:25/--),66 mins
13035,Upasana Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"tue,fri",HWH(--/13:00) -> BWN(14:06/14:06) -> ASN(15:19/15:24),29 mins
13036,Upasana Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"wed,sat",ASN(23:35/23:40) -> BWN(01:34/01:34) -> HWH(03:15/--),40 mins
13037,Kumbh Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,wed,thu,sat,sun",HWH(--/13:00) -> BWN(14:06/14:06) -> ASN(15:19/15:24),29 mins
13038,Kumbh Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,thu,fri,sun",ASN(23:35/23:40) -> BWN(01:34/01:34) -> HWH(03:15/--),40 mins
13041,Himgiri Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"tue,fri,sat",HWH(--/23:55) -> BWN(01:02/01:02) -> ASN(02:18/02:23),30 mins
13042,Himgiri Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,thu,sun",ASN(07:48/07:58) -> BWN(09:50/09:50) -> HWH(11:30/--),40 mins
13043,Howrah - Raxaul Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"wed,fri",HWH(--/23:00) -> BWN(01:04/01:06) -> ASN(02:26/02:31),32 mins
13044,Raxaul - Howrah Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"thu,sat",ASN(07:48/07:58) -> BWN(09:51/09:53) -> HWH(12:15/--),56 mins
13047,Vibhuti Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/19:55) -> BWN(20:52/20:54) -> ASN(22:27/22:32),37 mins
13048,Vibhuti Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(04:02/04:07) -> BWN(05:46/05:48) -> HWH(07:35/--),42 mins
13051,Netaji Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/21:55) -> BWN(22:53/22:55) -> ASN(00:22/00:27),34 mins
13052,Netaji Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(04:16/04:21) -> BWN(06:14/06:16) -> HWH(08:05/--),43 mins
13065,Howrah - Anand Vihar Terminal Amrit Bharat Express,Amrit Bharat Express,hwh_bwn_asn_line,HWH,ASN,thu,HWH(--/23:10) -> BWN(01:04/01:06) -> ASN(02:26/02:28),32 mins
13066,Anand Vihar Terminal - Howrah Amrit Bharat Express,Amrit Bharat Express,hwh_bwn_asn_line,ASN,HWH,sat,ASN(06:20/06:22) -> BWN(07:53/07:55) -> HWH(10:50/--),70 mins
15235,Darbhanga Weekly Express,MAIL EXPRESS,hwh_bwn_asn_line,HWH,ASN,sat,HWH(--/11:15) -> BWN(12:08/12:10) -> ASN(13:54/13:59),41 mins
15236,Howrah Weekly Express,MAIL EXPRESS,hwh_bwn_asn_line,ASN,HWH,fri,ASN(22:53/22:58) -> BWN(00:59/01:01) -> HWH(03:05/--),49 mins
15271,Muzaffarpur Jan Sadharan Express,Mail/Express,hwh_bwn_asn_line,HWH,ASN,wed,HWH(--/11:15) -> BWN(12:08/12:10) -> ASN(13:49/13:59),39 mins
15272,Howrah Jan Sadharan Express,Mail/Express,hwh_bwn_asn_line,ASN,HWH,tue,ASN(22:48/22:58) -> BWN(00:59/01:01) -> HWH(03:05/--),49 mins
20975,Chambal Express,Superfast Express,hwh_bwn_asn_line,HWH,ASN,tue,HWH(--/17:45) -> BWN(18:55/18:57) -> ASN(20:25/20:30),35 mins
20976,Chambal Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,thu,ASN(03:38/03:43) -> BWN(05:12/05:14) -> HWH(06:55/--),40 mins
22303,Howrah - Gaya Vande Bharat Express,Vande Bharat Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,fri,sat,sun",HWH(--/06:45) -> BWN(07:35/07:35) -> ASN(08:33/08:35),23 mins
22304,Gaya - Howrah Vande Bharat Express,Vande Bharat Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,fri,sat,sun",ASN(18:38/18:40) -> BWN(19:54/19:54) -> HWH(21:10/--),30 mins
22307,Bikaner SF Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,thu,fri",HWH(--/23:30) -> BWN(00:22/00:24) -> ASN(01:55/01:59),36 mins
22308,Howrah SF Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"wed,sat,sun",ASN(01:29/01:34) -> BWN(03:00/03:02) -> HWH(04:55/--),45 mins
22317,Sealdah - Jammu Tawi Humsafar Express,Humsafar Express,hwh_bwn_asn_line,HWH,ASN,mon,HWH(13:13/13:13) -> BWN(14:29/14:29) -> ASN(15:55/15:57),34 mins
22318,Jammu Tawi - Sealdah Humsafar Express,Humsafar Express,hwh_bwn_asn_line,ASN,HWH,wed,ASN(13:33/13:35) -> BWN(15:37/15:37) -> HWH(17:26/17:26),43 mins
22347,Howrah - Patna Vande Bharat Express,Vande Bharat Express,hwh_bwn_asn_line,HWH,ASN,"mon,tue,thu,fri,sat,sun",HWH(--/15:50) -> BWN(16:42/16:42) -> ASN(17:44/17:47),24 mins
22348,Patna - Howrah Vande Bharat Express,Vande Bharat Express,hwh_bwn_asn_line,ASN,HWH,"mon,tue,thu,fri,sat,sun",ASN(11:55/11:58) -> BWN(13:16/13:16) -> HWH(14:35/--),31 mins
22387,Black Diamond Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/06:15) -> BWN(07:48/07:50) -> ASN(09:31/09:34),40 mins
22388,Black Diamond Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"mon,tue,wed,thu,fri,sat,sun",ASN(17:24/17:27) -> BWN(19:13/19:15) -> HWH(21:30/--),54 mins
22587,Sealdah - Banaras Amrit Bharat Express,Amrit Bharat Express,hwh_bwn_asn_line,HWH,ASN,"mon,wed,sat",HWH(19:32/19:32) -> BWN(20:36/20:36) -> ASN(21:42/21:45),26 mins
22588,Banaras - Sealdah Amrit Bharat Express,Amrit Bharat Express,hwh_bwn_asn_line,ASN,HWH,"tue,fri,sun",ASN(06:17/06:20) -> BWN(08:00/08:00) -> HWH(09:51/09:51),44 mins
22911,Shipra Express,SUPERFAST,hwh_bwn_asn_line,ASN,HWH,"tue,thu,sat",ASN(03:38/03:43) -> BWN(05:12/05:14) -> HWH(06:55/--),40 mins
22912,Shipra Express,SUPERFAST,hwh_bwn_asn_line,HWH,ASN,"mon,thu,sat",HWH(--/17:45) -> BWN(18:55/18:57) -> ASN(20:25/20:30),35 mins
13009,Doon Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/20:25) -> BDC(21:18/21:23) -> BWN(22:15/22:17),55 mins
13010,Doon Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(04:23/04:25) -> BDC(05:22/05:27) -> HWH(07:00/--),37 mins
13011,Malda Town Intercity Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/15:25) -> BDC(16:12/16:14) -> BWN(17:12/17:14),23 mins
13012,Howrah Intercity Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(09:00/09:02) -> BDC(10:13/10:15) -> HWH(11:25/--),28 mins
13015,Jamalpur Kavi Guru Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/10:55) -> BDC(11:40/11:42) -> BWN(12:43/12:45),24 mins
13016,Howrah Kavi Guru Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(14:12/14:14) -> BDC(15:12/15:14) -> HWH(16:30/--),30 mins
13017,Ganadevta Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/06:05) -> BDC(06:47/06:49) -> BWN(07:35/07:37),18 mins
13018,Ganadevta Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(19:26/19:28) -> BDC(20:36/20:38) -> HWH(21:50/--),28 mins
13019,Bagh Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/21:40) -> BDC(22:35/22:37) -> BWN(23:21/23:23),17 mins
13020,Bagh Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(08:03/08:05) -> BDC(10:00/10:04) -> HWH(11:15/--),28 mins
13021,Mithila Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/15:50) -> BDC(16:53/16:58) -> BWN(18:08/18:10),28 mins
13022,Mithila Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(01:25/01:27) -> BDC(02:16/02:21) -> HWH(04:00/--),39 mins
13023,Howrah - Gaya Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/20:00) -> BDC(20:43/20:45) -> BWN(21:28/21:30),17 mins
13024,Gaya - Howrah Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(00:40/00:42) -> BDC(01:43/01:45) -> HWH(03:15/--),36 mins
13027,Azimganj Kaviguru Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/22:40) -> BDC(23:21/23:23) -> BWN(00:13/00:15),20 mins
13028,Howrah Kaviguru Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(11:27/11:29) -> BDC(12:40/12:42) -> HWH(13:55/--),29 mins
13029,Howrah - Mokama Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/23:20) -> BDC(00:16/00:21) -> BWN(01:28/01:30),26 mins
13030,Mokama - Howrah Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(00:37/00:39) -> BDC(01:35/01:45) -> HWH(03:25/--),40 mins
13031,Howrah - Jaynagar Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/11:25) -> BDC(12:18/12:22) -> BWN(13:31/13:33),27 mins
13032,Jaynagar - Howrah Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(18:38/18:40) -> BDC(19:50/19:55) -> HWH(21:15/--),32 mins
13043,Howrah - Raxaul Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"wed,fri",HWH(--/23:00) -> BDC(23:48/23:50) -> BWN(01:04/01:06),29 mins
13044,Raxaul - Howrah Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"thu,sat",BWN(09:51/09:53) -> BDC(10:47/10:49) -> HWH(12:15/--),34 mins
13045,Mayurakshi Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/16:25) -> BDC(17:04/17:06) -> BWN(18:23/18:25),30 mins
13046,Mayurakshi Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(09:16/09:18) -> BDC(10:20/10:22) -> HWH(11:35/--),29 mins
13053,Kulik Express,MAIL EXPRESS,hwh_bwn_main,HWH,BWN,"mon,tue,wed,thu,fri,sat,sun",HWH(--/08:55) -> BDC(09:46/09:48) -> BWN(10:42/10:44),21 mins
13054,Kulik Express,MAIL EXPRESS,hwh_bwn_main,BWN,HWH,"mon,tue,wed,thu,fri,sat,sun",BWN(12:45/12:47) -> BDC(13:51/13:53) -> HWH(15:20/--),34 mins
